alpha,epsilon,depth,recall,precision,fpr,size,tps
0.05,0.01,7.6521739130434785,0.7702616510994622,0.9134444615837518,0.13382255500561485,225.6086956521739,7999.944051498053
0.05,0.005,5.565217391304348,0.7876015049640487,0.9030854926030073,0.14136791050811093,437.17391304347825,7961.348940208794
0.05,0.001,5.043478260869565,0.8290175198101117,0.8802591075777629,0.17315511857273408,917.0869565217391,6766.143236430852
0.05,0.0005,4.956521739130435,0.8389529417147112,0.8613387926708065,0.18596263962832377,1214.8695652173913,6373.562481377749
0.05,0.0001,4.869565217391305,0.8723562522174785,0.8330213980766971,0.22392842625229467,1805.0434782608695,5684.395950147485
0.1,0.01,5.956521739130435,0.7512886079340795,0.9154391446731897,0.1097743826745038,69.17391304347827,7796.756887110009
0.1,0.005,6.260869565217392,0.7736539474986138,0.905405458012165,0.1203445902008646,141.7826086956522,7772.8057164799575
0.1,0.001,5.434782608695652,0.8144851193910846,0.8881712201735775,0.15901774660535767,468.1304347826087,7399.830631317947
0.1,0.0005,5.260869565217392,0.822523972321158,0.8735584374996612,0.16893538951518008,709.0,6269.512705530643
0.1,0.0001,4.956521739130435,0.8665592995747197,0.8406600193994415,0.20790473691267874,1574.695652173913,6375.46208869814
0.15,0.01,4.956521739130435,0.7470008551919101,0.9215319321952257,0.10124923000075897,53.34782608695652,8830.908565341548
0.15,0.005,6.0,0.7712415788045609,0.9143645605370372,0.10879778358077787,91.0,7644.829770267705
0.15,0.001,6.0,0.8101800074381523,0.8959725723059794,0.1364114229141867,340.95652173913044,7800.937383756975
0.15,0.0005,5.043478260869565,0.8152043572957105,0.8835187494262832,0.15686312388699403,487.4347826086956,7834.93897882939
0.15,0.0001,4.826086956521739,0.8540887011832775,0.8468740744965898,0.19788439569992516,1155.7391304347825,7051.385747822795
0.2,0.01,4.956521739130435,0.733573241729815,0.9224378841521125,0.0975226330026667,46.47826086956522,7181.786268255833
0.2,0.005,5.130434782608695,0.7696504948618452,0.9170326012660108,0.10276036096946362,76.34782608695652,7617.351191827469
0.2,0.001,6.217391304347826,0.8083178531554089,0.8991719317779849,0.1323419776130451,250.2173913043478,6530.251409655792
0.2,0.0005,5.478260869565218,0.8118298329260147,0.891592736154891,0.14497851391943045,388.2608695652174,7278.5567389159205
0.2,0.0001,4.913043478260869,0.8432215136566662,0.8538412447885996,0.18278008506380108,856.304347826087,6041.489377025568
0.25,0.01,7.869565217391305,0.730547028764873,0.9265422811565871,0.09295059160788059,46.391304347826086,5989.723670117815
0.25,0.005,5.130434782608695,0.7686827484328739,0.9176638721690209,0.10353474751695824,65.82608695652173,6852.971339097284
0.25,0.001,5.565217391304348,0.7963263785558168,0.901107851045818,0.12955266647721891,193.30434782608697,7574.36388261851
0.25,0.0005,5.869565217391305,0.8091651536582881,0.8965804917993291,0.13386190497812675,312.04347826086956,6362.567043426532
0.25,0.0001,5.043478260869565,0.8319768537276148,0.8575054764779273,0.17850461069383403,670.3913043478261,5369.003205941371
